=>Info |   | [2108-09-20_17:41:48] ----------------------------------------------------------------------------------------------------------
=>Info |   | [2108-09-20_17:41:48]                                     C++ TCP Server                                                        
=>Info |   | [2108-09-20_17:41:48]                                                                            Designed by Org.illidan        
=>Info |   | [2108-09-20_17:41:48] ----------------------------------------------------------------------------------------------------------
=>Info |   | [2108-09-20_17:41:48]     Server Configure Infos: 
=>Info |   | [2108-09-20_17:41:48]                                       IP = Any                             
=>Info |   | [2108-09-20_17:41:48]                                     Port = 9090                            
=>Info |   | [2108-09-20_17:41:48]                                      Lqn = 1000                            
=>Info |   | [2108-09-20_17:41:48]                         ServerThreadSize = 1                               
=>Info |   | [2108-09-20_17:41:48]                          ClientHeartTime = 10000000                        
=>Info |   | [2108-09-20_17:41:48]                           ClientSendTime = 3000000                         
=>Info |   | [2108-09-20_17:41:48]                     ClientRecvBufferSize = 10240                           
=>Info |   | [2108-09-20_17:41:48]                     ClientSendBufferSize = 10240                           
=>Info |   | [2108-09-20_17:41:48] -------------------------------------------------------------------------------- XTCPServer:Start() Begin 
=>Info |   | [2108-09-20_17:41:48] <Socket=5>:socket!
=>Info |   | [2108-09-20_17:41:48] <Socket=5>:bind!
=>Info |   | [2108-09-20_17:41:48] <Socket=5>:listen!
=>Info |   | [2108-09-20_17:41:48]  - - - - - - - - - - - - - - - - - - - AllocMemory : Addr = 0x7f38ddf0a010, ID = -1, Size = 1228800 
=>Info |   | [2108-09-20_17:41:48]     XReceiveServer<ID=0>:Start() Begin
=>Info |   | [2108-09-20_17:41:48]         XTaskServer<ID=0>:Start() Begin
=>Info |   | [2108-09-20_17:41:48]         XTaskServer<ID=0>:Start() End
=>Info |   | [2108-09-20_17:41:48]     XReceiveServer<ID=0>:Start() End
=>Info |   | [2108-09-20_17:41:48] -------------------------------------------------------------------------------- XTCPServer:Start() End 
=>Info |   | [2108-09-20_17:41:48] -------------------------------------------------------------------------------- XTCPServer:OnRun() Begin
=>Info |   | [2108-09-20_17:41:48]         XTaskServer<ID=-1>:OnRun() Begin
=>Info |   | [2108-09-20_17:41:48]     XReceiveServer<ID=0>:OnRun() Begin
=>Info |   | [2108-09-20_17:41:49] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:50] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:51] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:52] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:53] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:54] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:55] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:56] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:57] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:58] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:41:59] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:00] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:01] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:02] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:03] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:04] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:05] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:06] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:07] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:08] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:09] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:10] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:11] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:12] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:13] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:14] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:15] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:16] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:17] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:18] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:19] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:20] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:21] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
=>Info |   | [2108-09-20_17:42:22] | Client =       0  | Recv =       0  | Send =       0  | RecvMsg =       0  | SendMsg =       0  |
